kind	name	symbol_path	source_json_path	source_json_url	markdown_file	raw_file	description
class	AAIController	Others / AAIController	class/detail/Others/AAIController.json	https://developer.gp.qq.com/api/class/detail/Others/AAIController.json	symbols/class/AAIController.md	raw/class/AAIController.json	AIController is the base class of controllers for AI-controlled Pawns.      Controllers are non-physical actors that can be attached to a pawn to control its actions.   AIControllers manage the artificial intelligence for the pawns they control.   In networked games, they only exist on the server.
class	AActivityBaseActor	Others / AActivityBaseActor	class/detail/Others/AActivityBaseActor.json	https://developer.gp.qq.com/api/class/detail/Others/AActivityBaseActor.json	symbols/class/AActivityBaseActor.md	raw/class/AActivityBaseActor.json	可实现可交互物基础功能的Actor
class	AActor	Others / AActor	class/detail/Others/AActor.json	https://developer.gp.qq.com/api/class/detail/Others/AActor.json	symbols/class/AActor.md	raw/class/AActor.json	Actor is the base class for an Object that can be placed or spawned in a level.   Actors may contain a collection of ActorComponents, which can be used to control how actors move, how they are rendered, etc.   The other main function of an Actor is the replication of properties and function calls across the network during play.     @see UActorComponent
class	AAggregatedCollisionActor	Others / AAggregatedCollisionActor	class/detail/Others/AAggregatedCollisionActor.json	https://developer.gp.qq.com/api/class/detail/Others/AAggregatedCollisionActor.json	symbols/class/AAggregatedCollisionActor.md	raw/class/AAggregatedCollisionActor.json	
class	AAmbientSound	Others / AAmbientSound	class/detail/Others/AAmbientSound.json	https://developer.gp.qq.com/api/class/detail/Others/AAmbientSound.json	symbols/class/AAmbientSound.md	raw/class/AAmbientSound.json	A sound actor that can be placed in a level
class	AAtmosphericFog	Others / AAtmosphericFog	class/detail/Others/AAtmosphericFog.json	https://developer.gp.qq.com/api/class/detail/Others/AAtmosphericFog.json	symbols/class/AAtmosphericFog.md	raw/class/AAtmosphericFog.json	A placeable fog actor that simulates atmospheric light scattering
class	AAtmosphericSkyBoxActor	Others / AAtmosphericSkyBoxActor	class/detail/Others/AAtmosphericSkyBoxActor.json	https://developer.gp.qq.com/api/class/detail/Others/AAtmosphericSkyBoxActor.json	symbols/class/AAtmosphericSkyBoxActor.md	raw/class/AAtmosphericSkyBoxActor.json	
class	AAudioVolume	Others / AAudioVolume	class/detail/Others/AAudioVolume.json	https://developer.gp.qq.com/api/class/detail/Others/AAudioVolume.json	symbols/class/AAudioVolume.md	raw/class/AAudioVolume.json	
class	ABoxGIVolume	Others / ABoxGIVolume	class/detail/Others/ABoxGIVolume.json	https://developer.gp.qq.com/api/class/detail/Others/ABoxGIVolume.json	symbols/class/ABoxGIVolume.md	raw/class/ABoxGIVolume.json	
class	ABrush	Others / ABrush	class/detail/Others/ABrush.json	https://developer.gp.qq.com/api/class/detail/Others/ABrush.json	symbols/class/ABrush.md	raw/class/ABrush.json	
class	ACameraActor	Others / ACameraActor	class/detail/Others/ACameraActor.json	https://developer.gp.qq.com/api/class/detail/Others/ACameraActor.json	symbols/class/ACameraActor.md	raw/class/ACameraActor.json	A CameraActor is a camera viewpoint that can be placed in a level.
class	ACameraRig_Crane	Others / ACameraRig_Crane	class/detail/Others/ACameraRig_Crane.json	https://developer.gp.qq.com/api/class/detail/Others/ACameraRig_Crane.json	symbols/class/ACameraRig_Crane.md	raw/class/ACameraRig_Crane.json	A simple rig for simulating crane-like camera movements.
class	ACameraRig_Rail	Others / ACameraRig_Rail	class/detail/Others/ACameraRig_Rail.json	https://developer.gp.qq.com/api/class/detail/Others/ACameraRig_Rail.json	symbols/class/ACameraRig_Rail.md	raw/class/ACameraRig_Rail.json	
class	ACharacter	Others / ACharacter	class/detail/Others/ACharacter.json	https://developer.gp.qq.com/api/class/detail/Others/ACharacter.json	symbols/class/ACharacter.md	raw/class/ACharacter.json	Characters are Pawns that have a mesh, collision, and built-in movement logic.   They are responsible for all physical interaction between the player or AI and the world, and also implement basic networking and input models.   They are designed for a vertically-oriented player representation that can walk, jump, fly, and swim through the world using CharacterMovementComponent.     @see APawn, UCharacterMovementComponent
